Index,Date,GAME_ID,Visiting,Home,Period,Time,Challenging Team,Challenge Type,Additional Challenge Type,Successful/Unsuccessful,Link,Challenging Coach,Challenging Coach Years Experience,Challenging Coach Current Year Win Percentage,Challenging Coach Career Win Percentage,Official #1,Official #2,Official #3,Replay Center Officials,L2M Reviewed,L2M Reviewed Challenge,L2M Reviewed/Challenge Call Match,L2M Reviewed Decision,L2M Reviewed Comment,Visiting Score,Home Score,Committing Player,Disadvantaged Player,Committing Team,Disadvantaged Team,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG
169,20191028,21900049,UTA,PHX,3,11:43,UTA,Foul,Defensive Foul Challenge,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_UTA_PHX_Utah_Defensive_Foul_Challenge_102819,Quin Snyder,6,0.641,0.565,Tony Brown,Ben Taylor,Mousa Dagher,,No,,,,,nan,nan,nan,nan,nan,nan,400,4,1,3,11:33 PM,11:43,SUNS Rebound,,,nan,,2,1610612756,nan,,,,nan,0,0,nan,,,,nan,0,0,,,,,,0
170,20191028,21900049,UTA,PHX,3,11:43,UTA,Foul,Defensive Foul Challenge,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_UTA_PHX_Utah_Defensive_Foul_Challenge_102819,Quin Snyder,6,0.641,0.565,Tony Brown,Ben Taylor,Mousa Dagher,,No,,,,,nan,nan,Mike Conley,Emmanuel Mudiay,UTA,UTA,401,8,0,3,11:33 PM,11:43,,,SUB: Mudiay FOR Conley,nan,,5,201144,Mike Conley,1610612762,Utah,Jazz,UTA,5,1626144,Emmanuel Mudiay,1610612762,Utah,Jazz,UTA,0,0,,,,,,0
171,20191028,21900049,UTA,PHX,3,11:43,UTA,Foul,Defensive Foul Challenge,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_UTA_PHX_Utah_Defensive_Foul_Challenge_102819,Quin Snyder,6,0.641,0.565,Tony Brown,Ben Taylor,Mousa Dagher,,No,,,,,46,40,Ricky Rubio,nan,PHX,nan,403,3,12,3,11:33 PM,11:43,Rubio Free Throw 2 of 2 (4 PTS),,,46 - 40,-6,4,201937,Ricky Rubio,1610612756,Phoenix,Suns,PHX,0,0,nan,,,,nan,0,0,,,,,,1
172,20191028,21900050,DEN,SAC,3,10:47,SAC,Foul,Defensive Foul Challenge,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_DEN_SAC_Sacramento_Defensive_Foul_Challenge_102819,Luke Walton,4,0.438,0.406,David Guthrie,Curtis Blair,Jonathan Sterling,,No,,,,,nan,nan,Paul Millsap,nan,DEN,nan,369,2,1,3,11:20 PM,10:47,,,MISS Millsap  3PT Jump Shot,nan,,5,200794,Paul Millsap,1610612743,Denver,Nuggets,DEN,0,0,nan,,,,nan,0,0,,,,,,1
173,20191028,21900050,DEN,SAC,3,10:47,SAC,Foul,Defensive Foul Challenge,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_DEN_SAC_Sacramento_Defensive_Foul_Challenge_102819,Luke Walton,4,0.438,0.406,David Guthrie,Curtis Blair,Jonathan Sterling,,No,,,,,nan,nan,nan,nan,nan,nan,370,4,0,3,11:20 PM,10:47,,,Nuggets Rebound,nan,,3,1610612743,nan,,,,nan,0,0,nan,,,,nan,0,0,,,,,,0
174,20191028,21900050,DEN,SAC,3,10:47,SAC,Foul,Defensive Foul Challenge,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_DEN_SAC_Sacramento_Defensive_Foul_Challenge_102819,Luke Walton,4,0.438,0.406,David Guthrie,Curtis Blair,Jonathan Sterling,,No,,,,,nan,nan,nan,nan,nan,nan,350,9,1,3,11:21 PM,10:47,KINGS Timeout: Regular (Full 3 Short 0),,,nan,,2,1610612758,nan,,,,nan,0,0,nan,,,,nan,0,0,,,,,,0
175,20191028,21900050,DEN,SAC,3,10:47,SAC,Foul,Defensive Foul Challenge,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_DEN_SAC_Sacramento_Defensive_Foul_Challenge_102819,Luke Walton,4,0.438,0.406,David Guthrie,Curtis Blair,Jonathan Sterling,,No,,,,,50,55,Mitchell Butler,nan,nan,nan,351,18,5,3,11:21 PM,10:47,,,,50 - 55,5,0,348,Mitchell Butler,,,,nan,0,0,nan,,,,nan,1,0,,,,,,0
176,20191029,21900052,ATL,MIA,4,8:23,ATL,Foul,Defensive Foul Challenge,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_ATL_MIA_Atlanta_Defensive_Foul_Challenge_102919,Lloyd Pierce,2,0.299,0.329,Pat Fraher,Kevin Cutler,Ray Acosta,,No,,,,,nan,nan,Bruno Fernando,Goran Dragic,ATL,MIA,588,6,2,4,9:34 PM,8:23,,,Fernando S.FOUL (P2.T3) (R.Acosta),nan,,5,1628981,Bruno Fernando,1610612737,Atlanta,Hawks,ATL,4,201609,Goran Dragic,1610612748,Miami,Heat,MIA,1,0,,,,,,1
177,20191029,21900052,ATL,MIA,4,8:23,ATL,Foul,Defensive Foul Challenge,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_ATL_MIA_Atlanta_Defensive_Foul_Challenge_102919,Lloyd Pierce,2,0.299,0.329,Pat Fraher,Kevin Cutler,Ray Acosta,,No,,,,,nan,nan,nan,nan,nan,nan,591,9,1,4,9:35 PM,8:23,,,Hawks Timeout: Regular (Reg.4 Short 0),nan,,3,1610612737,nan,,,,nan,0,0,nan,,,,nan,0,0,,,,,,0
178,20191029,21900052,ATL,MIA,4,8:23,ATL,Foul,Defensive Foul Challenge,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_ATL_MIA_Atlanta_Defensive_Foul_Challenge_102919,Lloyd Pierce,2,0.299,0.329,Pat Fraher,Kevin Cutler,Ray Acosta,,No,,,,,77,93,nan,nan,nan,nan,592,18,4,4,9:35 PM,8:23,,,,77 - 93,16,0,588,nan,,,,nan,0,0,nan,,,,nan,1,0,,,,,,0
